trait,value,p,method
trait4,0.8737181035344747,0,lambda
trait6,0.5366809872714704,0,lambda
trait14,0.8017407840780344,0,lambda
trait15,0.632027024060079,0,lambda
trait21,0.6100332110716754,0,lambda
trait24,0.8333899554020139,0,lambda
trait26,0.9734764078345665,0,lambda
trait44,0.7061779035680562,0,lambda
trait45,0.37337621296008844,0,lambda
trait46,0.6948151223940704,0,lambda
trait48,0.48950277817094273,0,lambda
trait185,0.5049571977766644,0,lambda
trait281,0.8761843911707125,0,lambda
trait324,0.2758088364625674,0.03101554,lambda
trait773,0.16255393960248735,0.00299079,lambda
trait3106,0.728408922233897,0,lambda
trait3110,0.6455366550011951,0,lambda
trait3117,0.7890919702535744,0,lambda
